name,email,phone_number,date_of_birth,address,city,state,zipcode,neighborhood,office_phone_number,office_email,employment_status,sales_total,hire_date,termination_date,license_number,specialties,rating
Matthew Griffin,matthew.griffin@example.com,634-732-8443x9945,1981-12-17,91780 4th Ave,New York,NY,22258-3227,Queens,+1-318-458-4428,morrisjonathan@mullen-smith.info,Active,0,2021-01-21,2019-09-11,nUz-8413-8506,Mind eye already field Mr.,3.74
Stephanie Edwards,stephanie.edwards@example.com,816.684.0327x558,1946-08-15,617 Houston Street,New York,NY,95216-2535,Bronx,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,On Leave,0,2022-09-18,,,,
Heather Watson,heather.watson@example.com,286.336.6943x8582,1946-04-20,88930 West End Ave,New York,NY,37245-9538,Manhattan,001-928-749-7227x1121,thomasmartin@watson.info,On Leave,0,2023-10-08,2019-10-19,WiB-1242-4599,Per we party head health.,2.6
Kimberly Garcia,kimberly.garcia@example.com,+1-626-618-5924x994,1971-08-09,72768 Wall Street,New York,NY,76221-7808,Queens,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,Terminated,0,2023-04-02,,,,
Connor Garcia,connor.garcia@example.com,(887)466-4693x40052,1998-07-31,359 Jerome Ave,New York,NY,74648-7433,Manhattan,001-639-399-9450x069,bobbystanley@nelson.info,Inactive,0,2021-04-21,2020-08-26,hgt-9654-6984,Crime project east firm bad often.,4.08
Paisley Perry,paisley.perry@example.com,908-895-1210x303,1991-04-06,4189 Broadway,New York,NY,83321-6990,Manhattan,+1-959-360-3977x3912,aguirredavid@kaufman-johnson.com,On Leave,0,2022-10-15,2021-12-05,,,
Mason Brown,mason.brown@example.com,795.789.7114x20186,1953-10-29,905 Bleecker Street,New York,NY,55078-8598,Manhattan,001-928-749-7227x1121,thomasmartin@watson.info,On Leave,0,2022-06-21,,bFm-9015-1554,So movement able sell move.,3.17
Brittany Sanchez,brittany.sanchez@example.com,629.709.3728x839,1971-10-24,7780 2nd Ave,New York,NY,50946-7763,Queens,(355)201-6287x71066,wayne87@morrison.org,Inactive,0,2019-10-23,2022-06-27,,,
David Cox,david.cox@example.com,+1-493-839-9026x921,1954-08-27,34781 5th Ave,New York,NY,60080-3186,Brooklyn,+1-322-536-9361x07845,grantandrew@rodriguez.com,Inactive,0,2019-12-07,,JoW-2680-7966,Full structure care reveal officer able full.,1.25
Grace Jenkins,grace.jenkins@example.com,(458)696-4085,1947-04-03,639 Fulton Street,New York,NY,94578-2398,Staten Island,001-639-399-9450x069,bobbystanley@nelson.info,Terminated,0,2020-09-18,,,,
Tyler Collins,tyler.collins@example.com,+1-516-282-6336x1030,1994-02-21,76014 Bleecker Street,New York,NY,33154-9778,Bronx,001-639-399-9450x069,bobbystanley@nelson.info,On Leave,0,2022-07-09,,buA-3243-0662,Occur give meet necessary expect interesting and.,1.37
Jason Bennett,jason.bennett@example.com,462-585-2468,2005-05-11,2045 Northern Blvd,New York,NY,93396-3160,Staten Island,223.246.3242x6925,dturner@davis.info,On Leave,0,2020-07-07,,,,
Abigail Thompson,abigail.thompson@example.com,680-498-7699,1990-02-06,66716 Wall Street,New York,NY,63713-9666,Manhattan,001-639-399-9450x069,bobbystanley@nelson.info,Active,0,2023-03-01,,CWP-6594-6444,Skin every case point behind maintain.,2.2
Joseph Parker,joseph.parker@example.com,226-885-6107,1981-11-25,471 Arthur Ave,New York,NY,12303-7866,Staten Island,732-682-4432,melissa69@brock.com,Terminated,0,2021-09-09,2020-08-30,,,
Jessica Campbell,jessica.campbell@example.com,904-543-9198,1955-07-14,2044 Bowery,New York,NY,95526-3624,Staten Island,+1-318-458-4428,morrisjonathan@mullen-smith.info,Terminated,0,2022-10-20,,Zbj-4907-0475,Add during it amount full information.,4.79
